"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"present"	"cluster"	"ASV"	"Kingdom"	"reads"
"Abrostola"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SFKMCD"	1	"Noctuidae_cluster27"	"9a66125caeda0a302ad8594b9933ec77"	"Animalia"	1810
"Acyrthosiphon"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphididae"	"SUXVVU"	1	"Aphididae_cluster43"	"1ed286c3eb6aaa2cd770d929f908b5a6"	"Animalia"	377
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"S8APX1"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	16767
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SDD4G5"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	1408
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SKA8NJ"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	382
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SLWUQ2"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	3298
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SM6D3B"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	171
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SNYBEM"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	121
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SUXEKB"	1	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	8345
"Agriphila"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SKA8NJ"	1	"Crambidae_cluster3"	"56a654fe0493e8c680f6dfabb28f83ca"	"Animalia"	3720
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"S6TGBG"	0	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	101
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SCFYMN"	1	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	967
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SK91LD"	0	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	208
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SSJSP9"	1	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	2541
"Ancistrocerus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SDD4G5"	1	"Vespidae_cluster12"	"3f37f10a47f3d71389811143c721b7c7"	"Animalia"	1586
"Ancistrocerus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SQYDDG"	0	"Vespidae_cluster12"	"3f37f10a47f3d71389811143c721b7c7"	"Animalia"	3874
"Andrena"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	"SQ1CGZ"	0	"Andrenidae_cluster12"	"8bd7974fb1a862db0ca10db841afe34a"	"Animalia"	180
"Andrena"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	"SY34ZS"	1	"Andrenidae_cluster12"	"8bd7974fb1a862db0ca10db841afe34a"	"Animalia"	27930
"Apotomis"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SQYDDG"	1	"Tortricidae_cluster21"	"c3dceb90a43d91ce947e09412992684c"	"Animalia"	5116
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SKA8NJ"	0	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	670
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SQYDDG"	0	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	904
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SUXVVU"	1	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	31057
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SDD4G5"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	12812
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SFKMCD"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	6281
