"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"BOLD_bin"	"SCECHR"	"SK91LD"	"SQQBCH"	"SCFYMN"	"SM6D3B"	"SSY7BM"	"SDD4G5"	"ST2SCC"	"SQ1CGZ"	"SUNVYF"	"S6TGBG"	"SKVHMG"	"SZNYJX"	"SQYDDG"	"SHLY4A"	"SFKMCD"	"SKA8NJ"	"SZCD49"	"SSJSP9"	"SGZUHD"	"SWKRGL"	"SUTTXP"	"SASQEH"	"SUXVVU"	"SNYBEM"	"SCNXZK"	"S8APX1"	"SBWPUY"	"SC1YIM"	"SACBBR"	"S5MEZA"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SLWUQ2"	"SY34ZS"
"Acanthosomatidae_cluster1"	"219714843aa24c64ef3bc0e43a9176a0"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmostethus"	"Elasmostethus interstinctus"	"BOLD:ABZ2225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20705	0	0	0	0	0	0	8619	0	0	0	0	0	0	15608	0	0	0	0	0
"Acanthosomatidae_cluster2"	"87f5b4e9dfb0d3e79717a1c873561c17"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmucha"	"Elasmucha grisea"	"BOLD:AAY9405"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaridae_cluster28"	"1c5299fde682a8e27fe97341f88b088e"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	"Acaridae"	"Acaridae_X"	"Acaridae_XX"	"unclassified.Acaridae_XX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"Acartophthalmidae_cluster1"	"c0214866007832b7d0359b04a0b0af47"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Acartophthalmidae"	"Acartophthalmus"	"Acartophthalmus nigrinus"	"BOLD:AAN6240"	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster1"	"9fcc9ff6517813ddf099b55d2f14cbe2"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Chorthippus"	"Chorthippus_X"	"BOLD:AAC3398"	0	0	0	0	0	0	0	48239	0	0	0	0	0	0	0	0	10227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster100"	"4d766e15f8b7efa4d96b21c04c1263a3"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster108"	"f863cca1bd229d7c06e3aa24b30f462d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster116"	"e2197a9ac3a7a178c66da6faede9142e"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster117"	"117ae30439469e447367abff6566daeb"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster119"	"78ed7d85c156c6de20feabe8faded98d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
