"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCECHR"	"SK91LD"	"SQQBCH"	"SCFYMN"	"SM6D3B"	"SSY7BM"	"SDD4G5"	"ST2SCC"	"SQ1CGZ"	"SUNVYF"	"S6TGBG"	"SKVHMG"	"SZNYJX"	"SQYDDG"	"SHLY4A"	"SFKMCD"	"SKA8NJ"	"SZCD49"	"SSJSP9"	"SGZUHD"	"SWKRGL"	"SUTTXP"	"SASQEH"	"SUXVVU"	"SNYBEM"	"SCNXZK"	"S8APX1"	"SBWPUY"	"SC1YIM"	"SACBBR"	"S5MEZA"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SLWUQ2"	"SY34ZS"
"Acanthosomatidae_cluster1"	"219714843aa24c64ef3bc0e43a9176a0"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmostethus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20705	0	0	0	0	0	0	8619	0	0	0	0	0	0	15608	0	0	0	0	0
"Acanthosomatidae_cluster2"	"87f5b4e9dfb0d3e79717a1c873561c17"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmucha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaridae_cluster28"	"1c5299fde682a8e27fe97341f88b088e"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	"Acaridae"	"Acaridae_X"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"Acartophthalmidae_cluster1"	"c0214866007832b7d0359b04a0b0af47"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Acartophthalmidae"	"Acartophthalmus"	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster1"	"9fcc9ff6517813ddf099b55d2f14cbe2"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Chorthippus"	0	0	0	0	0	0	0	49188	0	0	0	0	0	0	0	0	61223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster100"	"4d766e15f8b7efa4d96b21c04c1263a3"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	11387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster4"	"d0321a92fa67b119f68d0602c0ab7f74"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Omocestus"	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster13"	"25414cd63357abe4b4e0981c0888ca31"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster1"	"23ef9f59c47941fc91f3ab26260ef025"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	0	0	0	0	0	0	0	0	0	0	0	50	0	11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster1"	"12e8563aa8e274d3efc52ca8e3af0720"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	226	0	0	0	180	0	724	0	43	0	0	0	0	1976	0	457	4217	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
"Agromyzidae_cluster100"	"8ccc32e6b4c565254f3a119a2c7981dc"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	0	0	0	0	0	0	422	0	40	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster104"	"a2cf0a254a869a185df6bbbd255b3523"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	0	0	0	0	130	0	142	0	216	0	0	1387	0	965	0	524	21	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster107"	"0c1eb7a1de3a50e1ec6552adef0d578e"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Amauromyza"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster117"	"98b07203b8390b612c469830130b993f"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyzidae_X"	0	0	0	0	67	0	120	0	0	0	0	0	0	304	185	0	76	46	0	0	0	0	148	5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster12"	"55968978a98823a519add2fe1a4cee99"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Phytomyza"	0	282	0	0	60	0	268	0	54	0	0	0	0	3024	0	230	118	26	0	0	0	0	0	5483	0	398	0	0	0	0	0	0	0	0	0	0	0	92	0	0
"Agromyzidae_cluster120"	"79a8e9487a8ffada0e267d2d13dc0df6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"unclassified.Agromyzidae"	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	14	124	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster129"	"4a7efc6f3b4ee4a1640cf7bfc00e6cbb"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Liriomyza"	0	90	0	0	228	0	488	0	583	0	0	0	0	889	0	292	1255	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
