"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"BOLD_bin"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Acanthosomatidae_cluster1"	"219714843aa24c64ef3bc0e43a9176a0"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmostethus"	"Elasmostethus interstinctus"	"BOLD:ABZ2225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	304	0	0
"Acanthosomatidae_cluster2"	"87f5b4e9dfb0d3e79717a1c873561c17"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmucha"	"Elasmucha grisea"	"BOLD:AAY9405"	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaridae_cluster18"	"265c375799685f01c27008ed6701f8cc"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	"Acaridae"	"Tyrophagus"	"Tyrophagus putrescentiae"	"BOLD:ADW7117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acartophthalmidae_cluster1"	"c0214866007832b7d0359b04a0b0af47"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Acartophthalmidae"	"Acartophthalmus"	"Acartophthalmus nigrinus"	"BOLD:AAN6240"	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	139	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster1"	"9fcc9ff6517813ddf099b55d2f14cbe2"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Chorthippus"	"Chorthippus_X"	"BOLD:AAC3398"	0	0	0	0	0	0	0	4471	0	115843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster108"	"f863cca1bd229d7c06e3aa24b30f462d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster117"	"117ae30439469e447367abff6566daeb"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster119"	"78ed7d85c156c6de20feabe8faded98d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster12"	"efaaaf900966f3a14f85e10e4e8d031d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	32	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster174"	"1672116d6b90abfb0631cf0325638d26"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
