"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Acanthosomatidae_cluster1"	"219714843aa24c64ef3bc0e43a9176a0"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmostethus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	304	0	0
"Acanthosomatidae_cluster2"	"87f5b4e9dfb0d3e79717a1c873561c17"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Acanthosomatidae"	"Elasmucha"	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaridae_cluster18"	"265c375799685f01c27008ed6701f8cc"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	"Acaridae"	"Tyrophagus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acartophthalmidae_cluster1"	"c0214866007832b7d0359b04a0b0af47"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Acartophthalmidae"	"Acartophthalmus"	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	139	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster1"	"9fcc9ff6517813ddf099b55d2f14cbe2"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Chorthippus"	0	0	0	0	0	0	0	40950	0	115943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster108"	"f863cca1bd229d7c06e3aa24b30f462d"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	1394	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster4"	"d0321a92fa67b119f68d0602c0ab7f74"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Omocestus"	0	0	0	0	0	0	0	178	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster13"	"25414cd63357abe4b4e0981c0888ca31"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	0	0	0	1500	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster2"	"2d36ccc03be282ca2bec9eeff8736097"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	0	229	3	0	0	148	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agelenidae_cluster1"	"2dfdffb5a23cb928aed6f11fd9d467e0"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Agelenidae"	"Agelena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster1"	"12e8563aa8e274d3efc52ca8e3af0720"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	0	0	652	3061	282	6732	0	60290	0	0	0	0	0	268	0	0	152	0	0	0	103	0	0	0	0	0	0	0	2396	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster100"	"8ccc32e6b4c565254f3a119a2c7981dc"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	0	0	328	0	0	0	0	2277	0	0	0	0	0	1456	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster104"	"a2cf0a254a869a185df6bbbd255b3523"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	0	2437	121	2522	1042	2181	0	313	0	0	0	0	0	2234	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster107"	"0c1eb7a1de3a50e1ec6552adef0d578e"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Amauromyza"	0	0	0	0	0	0	0	1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
