"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"present"	"cluster"	"ASV"	"Kingdom"	"reads"
"Abrostola"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SFKMCD"	1	"Noctuidae_cluster27"	"9a66125caeda0a302ad8594b9933ec77"	"Animalia"	355
"Acyrthosiphon"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphididae"	"SUXVVU"	1	"Aphididae_cluster43"	"1ed286c3eb6aaa2cd770d929f908b5a6"	"Animalia"	408
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"S6TGBG"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	2
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"S8APX1"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	705
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SDD4G5"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	45
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SKA8NJ"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	1477
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SLWUQ2"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	7
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SM6D3B"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	58
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SNYBEM"	0	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	619
"Agonopterix"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Elachistidae"	"SUXEKB"	1	"Elachistidae_cluster2"	"049a82683bf1c9590ac39cb2d89989df"	"Animalia"	8781
"Agriphila"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SKA8NJ"	1	"Crambidae_cluster3"	"56a654fe0493e8c680f6dfabb28f83ca"	"Animalia"	19115
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"S6TGBG"	0	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	61
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SCFYMN"	1	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	3719
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SK91LD"	0	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	220
"Allacma"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"SSJSP9"	1	"Sminthuridae_cluster1"	"24d3581b582313132a1e9dcba0ad69a6"	"Animalia"	22755
"Ancistrocerus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SQYDDG"	0	"Vespidae_cluster14"	"eb0f04c3fd0ab1df6d7df9529ef23dbf"	"Animalia"	165
"Andrena"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	"SY34ZS"	1	"Andrenidae_cluster2"	"2d7d35b8bdf640367dfa46454103266f"	"Animalia"	333
"Apotomis"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SQYDDG"	1	"Tortricidae_cluster21"	"c3dceb90a43d91ce947e09412992684c"	"Animalia"	18168
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SKA8NJ"	0	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	405
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SQYDDG"	0	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	100
"Athalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Tenthredinidae"	"SUXVVU"	1	"Tenthredinidae_cluster4"	"d121ec66fd2475b9230b495669ca7b95"	"Animalia"	5940
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SDD4G5"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	1596
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SFKMCD"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	1326
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SKA8NJ"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	8333
"Autographa"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SM6D3B"	1	"Noctuidae_cluster1"	"c0f3745cc082f83422186fb2b3411fa7"	"Animalia"	1547
"Bellardia"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SQ1CGZ"	1	"Calliphoridae_cluster14"	"71b806994c9b769cec7329ff713f9d62"	"Animalia"	2416
"Bellardia"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SUXVVU"	0	"Calliphoridae_cluster14"	"71b806994c9b769cec7329ff713f9d62"	"Animalia"	6934
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SCNXZK"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	242
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SHLY4A"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	3
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SIRUBH"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	560
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SKVHMG"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	32
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SLWUQ2"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	8
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SQYDDG"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	90
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SSJSP9"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	140
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SSY7BM"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	23
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SUNVYF"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	3
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SUTTXP"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	4
