"Genus"	"Phylum"	"Class"	"Order"	"Family"	"SCNXZK"	"SY34ZS"	"SDD4G5"	"SIUQ3G"	"SUNVYF"	"SIRUBH"	"SLWUQ2"	"SFKMCD"	"SWKRGL"	"SBWPUY"	"SUXVVU"	"SQYDDG"	"SKA8NJ"	"SQ1CGZ"	"ST2SCC"	"SKVHMG"	"SKYQAL"	"SM6D3B"	"S8APX1"	"SUXEKB"	"SCFYMN"	"SASQEH"	"SACBBR"	"S6TGBG"	"SGZUHD"	"SCECHR"	"STHFJP"	"SZNYJX"	"SNYBEM"	"SSY7BM"	"SG3CB2"	"SZCD49"	"SC1YIM"	"SQVR9H"	"SSJSP9"	"SQQBCH"	"SUTTXP"	"S5MEZA"	"SK91LD"	"SHLY4A"
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1
"Pemphredon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Crabronidae"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Andrena"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Formica"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Formicidae"	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"Vespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ancistrocerus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophion"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
"Alloplasta"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
